fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type_red,type_white,PCA1,PCA2,LDA1,LDA2
6.1,0.24,0.3,1.5,0.045,22.0,61.0,0.992,3.31,0.54,10.4,5,0,1,-55.69783486355538,4.033408997431597,-0.21781195526857927,0.6868482506152601
6.8,0.25,0.24,4.55,0.053,41.0,211.0,0.9955,3.37,0.67,9.5,6,0,1,94.72726556929864,-11.198773186186122,0.6135247427812628,-0.5252406899124857
6.7,0.31,0.31,9.9,0.04,10.0,175.0,0.9953,3.46,0.55,11.4,4,0,1,52.94414205440026,-33.0977022360761,-0.6710192018102287,1.0042168788787662
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,0,1,84.31958271824008,27.340094294950486,1.7027736059445264,-0.24788964422115714
5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68,9.9,6,0,1,45.70050110795282,-27.66531953564764,0.9162428208669197,0.6164665433392967
6.7,0.24,0.41,8.7,0.036,29.0,148.0,0.9952,3.22,0.62,9.9,6,0,1,30.87376603760079,-8.550159545187807,-0.10777556591086718,-0.21819647273153422
6.8,0.28,0.17,13.9,0.047,49.0,162.0,0.9983,3.21,0.51,9.0,6,0,1,49.20820490609198,7.924592047333303,0.5121016400616175,-0.7928245461277403
6.4,0.16,0.22,1.4,0.04,41.0,149.0,0.9933,3.49,0.58,10.0,6,0,1,34.23251981896821,2.687441123514555,-0.2832042278683502,-0.3992522423749945
6.3,0.26,0.24,7.2,0.039,38.0,172.0,0.9958,3.49,0.64,9.7,6,0,1,56.197858377088444,-5.241471463341807,0.07046726043922713,-0.09569943524115912
7.7,0.22,0.42,1.9,0.052,10.0,87.0,0.9922,3.3,0.49,11.8,6,0,1,-33.075921118224116,-13.508301718062704,-1.0378348657638174,1.3214916447880383
6.5,0.18,0.31,1.7,0.044,30.0,127.0,0.9928,3.49,0.5,10.2,7,0,1,10.359033828798236,-3.054379325891078,-0.2568850822851294,0.12760289745430978
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,0,1,84.31958271824008,27.340094294950486,1.7027736059445264,-0.24788964422115714
7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,0,1,53.015675399301884,-2.2008940315190153,0.5178179049377563,-0.5529269420193619
9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,0,1,-22.564669132682468,5.554031344922354,-0.744110619083785,0.8548063368256867
7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,0,1,2.0210798665193566,0.9150732981655615,-1.200213796184479,0.6130915005869334
7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,0,1,53.015675399301884,-2.2008940315190153,0.5178179049377563,-0.5529269420193619
7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,0,1,2.0210798665193566,0.9150732981655615,-1.200213796184479,0.6130915005869334
9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,0,1,-22.564669132682468,5.554031344922354,-0.744110619083785,0.8548063368256867
8.4,0.35,0.71,12.2,0.046,22.0,160.0,0.9982,2.98,0.65,9.4,5,0,1,41.12587465952808,-17.97746631931763,0.9496518937360832,0.5272115222398682
6.1,0.41,0.24,1.6,0.049,16.0,137.0,0.993,3.32,0.5,10.4,6,0,1,16.954739437000576,-18.941396323202767,1.1202134337403933,1.375141473425055
5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,5,0,1,52.95363916754385,11.095300025644313,0.30056477767509937,-1.3726133675020036
7.2,0.34,0.44,4.2,0.047,51.0,144.0,0.991,3.01,0.76,12.3,6,0,1,31.704119061282015,13.638454953442118,-1.9943182906742742,0.15235600429494214
6.7,0.21,0.42,9.1,0.049,31.0,150.0,0.9953,3.12,0.74,9.9,7,0,1,33.28593787599957,-7.041316640577563,-0.3340120907175713,-0.690519041190756
5.9,0.37,0.1,1.6,0.057,39.0,128.0,0.9924,3.24,0.48,10.1,5,0,1,13.349988271588234,5.484196602799683,0.7789912548953742,0.38809011645873104
7.7,0.34,0.27,8.8,0.063,39.0,184.0,0.9969,3.09,0.63,9.2,6,0,1,68.16542352029501,-6.935280171572649,1.0144350256476518,-0.1680170409486921
7.4,0.3,0.22,1.4,0.046,16.0,135.0,0.9928,3.08,0.77,10.4,7,0,1,14.990272314747006,-18.50534065725088,0.09727701992957653,0.6770826135938479
6.8,0.51,0.3,4.2,0.066,38.0,165.0,0.9945,3.2,0.42,9.1,5,0,1,49.25721671130691,-3.76084092286991,2.1976455685350014,1.0190479493870916
7.8,0.22,0.38,10.3,0.059,28.0,99.0,0.9967,3.12,0.47,10.0,6,0,1,-16.997596774720332,1.5657617682882712,-0.03541062385619159,0.09037364780877846
7.2,0.35,0.34,12.4,0.051,6.0,37.0,0.9944,3.13,0.39,11.5,6,0,1,-82.20757618617837,-5.8050830531395565,-1.0381821701767933,1.6841894151802412
6.0,0.26,0.5,2.2,0.048,59.0,153.0,0.9928,3.08,0.61,9.8,5,0,1,42.19851800795777,19.33918374248575,0.42513004735718424,-1.0407833866388034
6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,6,0,1,43.61964480151765,21.060500821218294,0.430033274687814,-1.0598735160427488
6.5,0.28,0.27,5.2,0.04,44.0,179.0,0.9948,3.19,0.69,9.4,6,0,1,64.27448346328023,-1.0410860602483585,0.5678859232525476,-0.5963638427249869
7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,0,1,86.50634488231724,27.873832186197056,1.4854750747380376,-0.7341055291462952
6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,0,1,-9.975457845324572,-2.405759134591299,-0.8968165635096801,0.8301961286631473
6.7,0.34,0.54,16.3,0.047,44.0,181.0,0.9987,3.04,0.56,8.8,5,0,1,66.68846478980846,-1.154212568856489,1.0193075940969176,-0.8097016732617051
7.2,0.2,0.34,2.7,0.032,49.0,151.0,0.99,3.16,0.39,12.7,7,0,1,38.00625874980199,10.067810045175431,-2.2026401514010185,-0.3093014704823083
7.4,0.2,0.33,1.9,0.035,39.0,138.0,0.991,3.17,0.44,11.7,7,0,1,23.07929350143757,3.232947043325542,-1.318877511201813,-0.060042823286449255
8.2,0.22,0.3,1.8,0.047,47.0,185.0,0.9933,3.13,0.5,10.2,6,0,1,70.62996599224948,0.41344213416279435,0.05244113467356398,-0.4676193507179472
8.2,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5,10.2,6,0,1,72.57713942344148,-0.037495170135127084,0.09226766397990444,-0.42213611079322516
7.1,0.22,0.33,2.8,0.033,48.0,153.0,0.9899,3.15,0.38,12.7,7,0,1,39.73420491452664,8.646871966096617,-2.090064584308752,-0.2402450778395853
6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,0,1,-9.975457845324572,-2.405759134591299,-0.8968165635096801,0.8301961286631473
6.0,0.38,0.26,6.0,0.034,42.0,134.0,0.9912,3.38,0.38,12.3,7,0,1,20.034696797976153,7.192978454299552,-1.4890447025177482,0.8825722920878021
7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,0,1,86.50634488231724,27.873832186197056,1.4854750747380376,-0.7341055291462952
5.7,0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39,9.4,5,0,1,-6.224146533960576,-4.235623003497931,0.7668454947662372,-0.3224237474510235
7.3,0.3,0.22,6.4,0.056,44.0,168.0,0.9947,3.13,0.35,10.1,6,0,1,53.605783004280305,1.472171423935802,0.6036167790844218,-0.25631442298258295
7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,0,1,-34.949145356892565,3.690690549495717,0.34110830137701775,-0.2675469455389679
6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,7,0,1,17.618064857368115,-2.6892805547620817,0.17076607587680157,0.36646573418054545
7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,0,1,-34.949145356892565,3.690690549495717,0.34110830137701775,-0.2675469455389679
7.4,0.26,0.3,7.9,0.049,38.0,157.0,0.9963,3.13,0.48,8.9,6,0,1,41.62057212062316,-1.847846017767924,1.0850634742133447,-0.4475254876112916
6.1,0.32,0.25,1.7,0.034,37.0,136.0,0.992,3.218395499383477,0.5,10.8,7,0,1,20.68945524611325,1.7366210993860527,0.07260126623271304,0.31810132057805424
6.9,0.28,0.27,2.1,0.036,42.0,121.0,0.9926,3.42,0.49,10.8,7,0,1,7.217171966494234,9.994254527176574,-0.5902078325695134,0.6393118910734934
7.0,0.23,0.33,5.8,0.04,25.0,136.0,0.995,3.19,0.58,9.5,6,0,1,18.173081495805203,-9.83171056903322,0.5186341998032021,-0.06461689771671772
7.1,0.31,0.5,14.5,0.059,6.0,148.0,0.9983,2.94,0.44,9.1,5,0,1,25.964102617348964,-30.772974059028627,1.6702920099220755,0.017463559735031685
7.3,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,6,0,1,6.573830528199546,16.257494663255162,-0.9803284231292864,0.036423523583208904
6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,0,1,34.60394261876558,-10.385629225617258,1.204761527294869,0.725665387880845
6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,0,1,9.743473015141179,-23.447599361684087,1.252304865541563,1.3103344344201204
6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,0,1,9.515140325959637,-24.42442155994817,1.3168481713005105,1.4797708726014156
6.3,0.27,0.38,0.9,0.051,7.0,140.0,0.9926,3.45,0.5,10.5,7,0,1,17.827462858584965,-28.40380005801773,0.5275300903372281,1.0041103635842203
6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,0,1,34.60394261876558,-10.385629225617258,1.204761527294869,0.725665387880845
7.0,0.29,0.37,4.9,0.034,26.0,127.0,0.9928,3.17,0.44,10.8,6,0,1,9.589752659849227,-6.853089077900964,-0.20052712333447692,0.5175625521021178
5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8,0,1,-0.6916876267955651,0.9276193145455098,-0.7250485109470587,0.08934472385391304
6.9,0.19,0.4,1.4,0.036,14.0,55.0,0.9909,3.08,0.68,11.5,7,0,1,-63.34813693329631,-2.4092494676164415,-1.373632811487515,0.6311673650277787
7.2,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,6,0,1,-9.88274289597009,2.6413304596606757,0.1599106471750154,-0.11499482020406629
6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,0,1,9.743473015141179,-23.447599361684087,1.252304865541563,1.3103344344201204
6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,0,1,9.515140325959637,-24.42442155994817,1.3168481713005105,1.4797708726014156
6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,0,1,18.066222000186446,-0.7438785488950072,0.7754858014270118,-0.4760648775748573
6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,0,1,18.066222000186446,-0.7438785488950072,0.7754858014270118,-0.4760648775748573
7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,0,1,42.573963005380186,-2.0829205037178276,0.5881875354295661,0.11274333323760702
7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,0,1,42.573963005380186,-2.0829205037178276,0.5881875354295661,0.11274333323760702
6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,5,0,1,48.17355575476374,7.30072004099748,0.014239339944491223,-0.7489601529393695
7.4,0.37,0.35,5.7,0.061,12.0,94.0,0.9965,3.48,0.69,10.7,6,0,1,-25.64559975606019,-13.02322544538323,0.11201321202786234,2.1453629518464488
6.5,0.36,0.28,3.2,0.037,29.0,119.0,0.9908,3.25,0.65,12.4,8,0,1,2.3961208602947237,-2.1726582210052734,-1.656571026688647,1.1530211055595918
7.4,0.24,0.4,4.3,0.032,9.0,95.0,0.992,3.09,0.39,11.1,6,0,1,-25.404555467587148,-16.212026227258953,-0.4358669252136605,0.812303567597644
7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,0,1,18.16017707894361,2.683722045341041,1.4031128078349666,-0.6359754596541647
7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,0,1,18.38070452170016,3.654131137677145,1.410511326562987,-0.7666835875022153
7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,0,1,18.38070452170016,3.654131137677145,1.410511326562987,-0.7666835875022153
7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,0,1,18.16017707894361,2.683722045341041,1.4031128078349666,-0.6359754596541647
7.8,0.32,0.33,2.4,0.037,18.0,101.0,0.9912,3.21,0.65,11.7,7,0,1,-17.632135917537333,-8.860600127782707,-1.3766805012853538,1.491467792421799
7.8,0.26,0.27,1.9,0.051,52.0,195.0,0.9928,3.23,0.5,10.9,6,0,1,81.48925430828837,3.0351314552784117,-0.41519554466482217,-0.2637533051370627
7.7,0.24,0.27,1.8,0.051,52.0,190.0,0.9928,3.23,0.5,10.8,6,0,1,76.61838557781016,4.159812308500001,-0.4069958465959608,-0.3944576338121955
7.4,0.19,0.3,1.4,0.057,33.0,135.0,0.993,3.12,0.5,9.6,6,0,1,18.805007020635934,-1.9540195750310858,0.5252094004991078,-0.4215648691315231
6.5,0.46,0.41,16.8,0.084,59.0,222.0,0.9993,3.18,0.58,9.0,5,0,1,109.98830693666392,4.224957372800545,1.239837923701286,-0.6148153279639001
6.5,0.33969101556480197,0.43,8.9,0.083,50.0,171.0,0.9965,2.85,0.5,9.0,5,0,1,57.98785144919641,6.717294592667634,1.8595069808608937,-1.1375956240438139
5.3,0.32,0.12,6.6,0.043,22.0,141.0,0.9937,3.36,0.6,10.4,6,0,1,22.408480045633162,-13.841681699989863,0.03368383256420007,0.31631345302616015
7.2,0.24,0.34,1.1,0.045,3.0,64.0,0.9913,3.23,0.51,11.4,5,0,1,-57.06509853556638,-15.161029823502563,-0.7180142990327892,1.408690973241694
6.0,0.36,0.06,1.4,0.066,27.0,128.0,0.9934,3.26,0.55,9.3,5,0,1,10.656173851682171,-6.2095027606493645,1.4871335154974687,0.49571558168974705
6.2,0.24,0.29,13.3,0.039,49.0,130.0,0.9952,3.33,0.46,11.0,8,0,1,18.02077362835888,15.130512572638759,-1.5318959192615635,-0.49757315007396047
7.6,0.56,0.12,10.4,0.096,22.0,177.0,0.9983,3.32,0.45,9.1,4,0,1,57.60827150270032,-21.861045238799203,2.3271877625945865,1.7465119025370397
7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,0,1,109.10559573669758,-24.720091035735134,1.1708816401193707,-0.24289208312368452
7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,0,1,109.10559573669758,-24.720091035735134,1.1708816401193707,-0.24289208312368452
5.8,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,6,0,1,-18.48816685367017,-3.567549715238949,0.1841148348874674,0.5908284730773762
7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,0,1,28.719653855931348,-1.5237214320924852,0.5955423416603947,-0.7156910617482048
7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,0,1,28.719653855931348,-1.5237214320924852,0.5955423416603947,-0.7156910617482048
6.9,0.24,0.33,4.8,0.04,16.0,131.0,0.9936,3.26,0.64,10.7,6,0,1,11.239994997481963,-17.494761171555574,-0.43154957612534056,0.4906251862918259
6.0,0.29,0.2,12.6,0.045,45.0,187.0,0.9972,3.33,0.42,9.5,5,0,1,72.59991933370334,-1.6401187770623449,0.577799616202391,-0.731615771922957
6.1,0.17,0.28,4.5,0.033,46.0,150.0,0.9933,3.43,0.49,10.9,6,0,1,36.453392924993615,7.430226889207049,-0.9384245354522027,-0.5573332864321905
5.9,0.14,0.25,4.5,0.027,34.0,140.0,0.9934,3.49,0.51,10.8,6,0,1,24.030086425325166,-1.9987560597049163,-0.9228873706862042,-0.38451580509429456
6.2,0.17,0.28,4.7,0.037,39.0,133.0,0.9931,3.41,0.46,10.8,7,0,1,18.3418076141592,4.452178408324766,-0.862981115106944,-0.35822392855051294
7.4,0.28,0.25,11.9,0.053,25.0,148.0,0.9976,3.1,0.62,9.2,5,0,1,30.110354887610292,-12.35347842513491,0.6275680498284905,-0.14527514578260473
5.6,0.35,0.14,5.0,0.046,48.0,198.0,0.9937,3.3,0.71,10.3,5,0,1,83.66167872541652,-1.4276038704028988,0.08088155558660874,-0.38535161153931435
5.8,0.335,0.14,5.8,0.046,49.0,197.0,0.9937,3.3,0.71,10.3,5,0,1,82.94429561233903,-0.20517288062346345,-0.17573644296823476,-0.4710882970919688
5.6,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,7,0,1,11.012103088116124,-0.14042596288344056,-0.503734842815987,-0.03677441682010627
6.1,0.28,0.25,12.9,0.054,34.0,189.0,0.9979,3.25,0.43,9.0,4,0,1,72.09675618744546,-12.794940689422674,1.25660685405467,-0.781566098965619
6.3,0.21,0.33,13.9,0.046,68.0,179.0,0.9971,3.36,0.5,10.4,6,0,1,70.01284546103236,22.599855029910554,-1.0612638493761564,-1.3787198445746942
6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.45,9.5,5,0,1,46.719749818736176,-6.976488432484428,0.4516315999800285,-0.5428785947252444
6.4,0.24,0.29,11.4,0.051,32.0,166.0,0.9968,3.31,0.45,9.5,5,0,1,49.18814317860904,-9.60342123320875,0.48805949571662455,-0.5249810727275634
6.3,0.26,0.25,7.8,0.058,44.0,166.0,0.9961,3.24,0.41,9.0,5,0,1,51.73038320290955,1.970055549030316,1.2458871227102042,-0.7882839377096678
6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,4,0,1,28.55005676784568,-30.882065705567822,1.8849176250971478,0.6163541979695556
7.4,0.105,0.34,12.2,0.05,57.0,146.0,0.9973,3.16,0.37,9.0,6,0,1,35.34866141826113,19.26565600413927,-0.03496448566693222,-1.770896444791023
6.0,0.32,0.12,5.9,0.041,34.0,190.0,0.9944,3.16,0.72,10.0,5,0,1,72.77214670202868,-13.2320440626848,0.42625484102055283,-0.3927288285788831
7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,0,1,72.37624660922688,-11.781690169550531,0.9177928092917643,-0.9906479901822576
7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,0,1,72.37624660922688,-11.781690169550531,0.9177928092917643,-0.9906479901822576
7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,0,1,72.37624660922688,-11.781690169550531,0.9177928092917643,-0.9906479901822576
7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,0,1,72.37624660922688,-11.781690169550531,0.9177928092917643,-0.9906479901822576
5.9,0.24,0.26,12.3,0.053,34.0,134.0,0.9972,3.34,0.45,9.5,6,0,1,18.522396473031765,-0.41002581182523906,0.38831357456186527,-0.47673176488524743
6.5,0.21,0.37,2.5,0.048,70.0,138.0,0.9917,3.33,0.75,11.4,7,0,1,30.05937281458766,33.442566526633065,-2.070930029910516,-0.7294115935393874
7.7,0.27,0.35,5.3,0.03,30.0,117.0,0.992,3.11,0.42,12.2,6,0,1,0.7541266973962166,-0.6922402242701361,-1.51643944100649,0.6926535581527723
9.0,0.27,0.35,4.9,0.028,27.0,95.0,0.9932,3.04,0.4,11.3,6,0,1,-21.35781022184766,1.3232374113623362,-0.8953638187405177,1.0759916294861593
7.3,0.34,0.21,3.2,0.05,14.0,136.0,0.9936,3.25,0.44,10.2,5,0,1,15.592860487857056,-20.62290370152348,0.8099243404168216,1.1322399538972678
6.6,0.27,0.25,3.1,0.052,41.0,188.0,0.9915,3.24,0.4,11.3,5,0,1,72.26518495411926,-6.051643131204355,-0.4911988698485739,-0.30490678620778416
7.1,0.28,0.26,1.9,0.049,12.0,86.0,0.9934,3.15,0.38,9.4,5,0,1,-33.583323521762004,-11.337874237975285,1.3525283099108731,0.8407700010026559
6.8,0.25,0.34,14.0,0.032,47.0,133.0,0.9952,3.37,0.5,12.2,7,0,1,20.511537640551815,12.527318355877073,-2.5381544760206887,0.04581644735131143
7.0,0.57,0.1,8.3,0.094,23.0,188.0,0.9972,3.4,0.47,9.2,4,0,1,68.45755144406355,-23.427559509922585,2.3544228780213556,1.7350602294154691
7.1,0.28,0.26,1.9,0.049,12.0,86.0,0.9934,3.15,0.38,9.4,5,0,1,-33.583323521762004,-11.337874237975285,1.3525283099108731,0.8407700010026559
7.1,0.17,0.38,7.4,0.052,49.0,182.0,0.9958,3.35,0.52,9.6,6,0,1,68.40273568715624,3.215336337924831,-0.023540289198537626,-0.9823940002473868
7.8,0.28,0.22,1.4,0.056,24.0,130.0,0.9944,3.28,0.48,9.5,5,0,1,11.917622302728123,-9.593262524010848,1.0724320332119148,0.763342068352753
6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.9908,3.35,0.72,12.5,6,0,1,78.34100575287832,-10.592043348257654,-2.1286817426320965,-0.04012835884494401
7.1,0.17,0.38,7.4,0.052,49.0,182.0,0.9958,3.35,0.52,9.6,6,0,1,68.40273568715624,3.215336337924831,-0.023540289198537626,-0.9823940002473868
6.1,0.14,0.25,1.3,0.047,37.0,173.0,0.9925,3.35,0.46,10.0,6,0,1,56.70049145719223,-6.619785434058831,0.17397283104495148,-0.9669985713716569
6.4,0.24,0.5,11.6,0.047,60.0,211.0,0.9966,3.18,0.57,9.3,5,0,1,99.28456717066474,7.520726471529988,0.2717794215604714,-1.612925508152179
7.8,0.42,0.26,9.2,0.058,34.0,199.0,0.9972,3.14,0.55,9.3,6,0,1,81.66420668937315,-15.174113649939395,1.449432065118869,0.470847660393933
6.6,0.28,0.36,1.7,0.038,22.0,101.0,0.9912,3.29,0.57,11.6,6,0,1,-16.75604012073783,-4.9792637479674795,-1.0022811917276055,0.9810656040775255
7.1,0.32,0.34,14.5,0.039,46.0,150.0,0.995,3.38,0.5,12.5,8,0,1,36.855576721377126,7.73475368089186,-2.5881964813298284,0.47439066399468577
6.7,0.31,0.3,2.1,0.038,18.0,130.0,0.9928,3.36,0.63,10.6,6,0,1,10.603435659851653,-15.403698028858694,-0.053654741385339905,1.057285473001885
6.4,0.32,0.5,10.7,0.047,57.0,206.0,0.9968,3.08,0.6,9.4,5,0,1,93.70599058182864,5.699359074134428,0.8063347473080599,-1.1253460712623224
6.1,0.28,0.25,6.9,0.056,44.0,201.0,0.9955,3.19,0.4,9.1,6,0,1,85.76939076814006,-5.94728490711718,1.5263607277404159,-1.00266713045412
5.9,0.29,0.25,12.0,0.057,48.0,224.0,0.9981,3.23,0.41,9.0,6,0,1,109.2738302836204,-7.0802730402815905,1.567516258740773,-1.2875630548292365
5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,0,1,-23.215105653363683,-2.327654851273428,-1.2146950946603272,1.1609232012428035
5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,0,1,-23.215105653363683,-2.327654851273428,-1.2146950946603272,1.1609232012428035
5.7,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,0,1,-23.214411965697852,-2.326977016314666,-1.1861006019460973,1.13279683989913
6.7,0.28,0.14,1.4,0.043,64.0,159.0,0.992,3.17,0.39,10.0,5,0,1,49.12100692120726,22.826272223985292,0.22833169633430342,-0.7271970156228831
6.8,0.34,0.69,1.3,0.058,12.0,171.0,0.9931,3.06,0.47,9.7,5,0,1,49.14769344567981,-30.51811161640813,1.9690996014903435,0.5223004478647079
5.9,0.25,0.25,11.3,0.052,30.0,165.0,0.997,3.24,0.44,9.5,6,0,1,47.765639723225576,-11.325147013400414,0.8799874111470859,-0.6688012154453109
8.1,0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42,11.2,5,0,1,69.345696762893,3.7855459566408145,0.38300797478251436,0.8832834406467842
6.2,0.36,0.26,13.2,0.051,54.0,201.0,0.9976,3.25,0.46,9.0,5,0,1,88.27378644775811,3.982604926382424,1.0508923956652032,-0.7692277451095886
6.8,0.22,0.35,5.5,0.043,21.0,114.0,0.9938,3.3,0.53,10.7,7,0,1,-4.160529588765756,-8.771020784016727,-0.4837203844027635,0.39662124883633487
7.2,0.28,0.3,10.7,0.044,61.0,222.0,0.9972,3.14,0.5,9.1,6,0,1,110.17608203280231,5.980687684374611,0.770169545631645,-1.293768743373836
6.7,0.17,0.37,2.0,0.039,34.0,125.0,0.9922,3.26,0.6,10.8,7,0,1,9.316125171982529,1.3008642752516066,-0.8309069014642365,-0.2300619538330302
6.9,0.2,0.34,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,4,0,1,18.00707905318037,-9.949138155245807,0.09832235830121888,0.12119158308698
6.1,0.36,0.16,6.4,0.037,36.0,198.0,0.9944,3.17,0.62,9.9,6,0,1,81.0299590584906,-13.073958464693574,0.7147632655943924,-0.20863611251538486
6.0,0.36,0.16,6.3,0.036,36.0,191.0,0.9942,3.17,0.62,9.8,5,0,1,74.21187608188471,-11.49836646082676,0.7234149249376862,-0.2104091392919172
5.9,0.37,0.14,6.3,0.036,34.0,185.0,0.9944,3.17,0.63,9.8,5,0,1,67.92275504793204,-12.092367168644088,0.8213194158838837,-0.09089928373122971
7.6,0.29,0.58,17.5,0.041,51.0,225.0,0.9997,3.16,0.66,9.5,6,0,1,111.13528542821308,-4.225762342039934,-0.010556261909535848,-0.948206590321544
6.3,0.34,0.28,14.7,0.047,49.0,198.0,0.9977,3.23,0.46,9.5,5,0,1,84.29171279745493,-0.16291917321852808,0.5575753140383732,-0.7245914098511028
6.7,0.19,0.34,1.0,0.022,22.0,94.0,0.9912,3.23,0.57,11.1,6,0,1,-23.598177351941874,-3.424474255011652,-0.9552239870674435,0.40707127385720765
7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.9982,3.218395499383477,0.6,9.5,5,0,1,93.04261054985854,11.137790852755112,-0.15810243066963647,-0.7993626399885361
7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.9982,3.06,0.6,9.5,5,0,1,93.04272011310258,11.13770931573211,0.07698721273681741,-1.0592830792203314
7.4,0.31,0.48,14.2,0.042,62.0,204.0,0.9983,3.06,0.59,9.4,5,0,1,93.01887235637984,11.119688879259934,0.30458369196378704,-1.0909305344929128
8.4,0.4,0.7,13.1,0.042,29.0,197.0,0.998,3.06,0.64,9.7,5,0,1,78.75347125150857,-19.475094020894424,0.6967310610013319,0.5915907692342145
5.9,0.34,0.22,2.4,0.03,19.0,135.0,0.9894,3.41,0.78,13.9,7,0,1,15.694438471948578,-15.533757480074849,-2.983326147881261,1.4686140606039073
